garment_type,bulk,fill,weight,help
Polo,Regular,0.66,0.3,https://www.uniformaustralia.com.au/images/thumbs/0179470_biz-collections-mens-orbit-short-sleeve-polo-p410ms.jpeg
Cotton Drill Shirt,Regular,1.2,0.9,https://uniformaustralia.com.au/images/thumbs/0181203_ritemate-workwear-taped-vented-lightweight-open-front-long-sleeve-shirt-rm108v3r.jpeg
Headwear,Cap,0.1,0.2,https://uniformaustralia.com.au/images/thumbs/0161589_bisley-workwear-cap-bcap50.jpeg
Jacket,Light-weight,2.2,1,https://uniformaustralia.com.au/images/thumbs/0179395_biz-collections-womens-tempest-jacket-j426l.jpeg
Jacket,Fleece,3,0.4,https://uniformaustralia.com.au/images/thumbs/0178041_biz-collection-mens-plain-jacket-pf630.jpeg
Jacket,Soft Shell,2.5,0.4,https://uniformaustralia.com.au/images/thumbs/0177769_biz-collection-womens-geneva-jacket-j307l.jpeg
Jacket,2 in 1,5.3,1,https://uniformaustralia.com.au/images/thumbs/0048134_huski-k8074-chassis-2-in-1-softshell-jacket.jpeg
Bag,Backpack,0.6,0.6,https://uniformaustralia.com.au/images/thumbs/0172075_aussie-pacific-tasman-backpack-4000.jpeg
Headwear,Beanie,0.15,0.2,https://i.imgur.com/F8vwNsC.jpeg
Bag,Duffle Bag,0.85,0.7,